ID,NAME,BATTING_Tests_Mat,BATTING_Tests_Inns,BATTING_Tests_NO,BATTING_Tests_Runs,BATTING_Tests_HS,BATTING_Tests_Ave,BATTING_Tests_BF,BATTING_Tests_SR,BATTING_Tests_100,BATTING_Tests_50,BATTING_ODIs_Mat,BATTING_ODIs_Inns,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_T20Is_Mat,BATTING_T20Is_Inns,BATTING_T20Is_NO,BATTING_T20Is_Runs,BATTING_T20Is_HS,BATTING_T20Is_Ave,BATTING_T20Is_BF,BATTING_T20Is_SR,BATTING_T20Is_100,BATTING_T20Is_50,BATTING_First-class_Mat,BATTING_First-class_Inns,BATTING_First-class_NO,BATTING_First-class_Runs,BATTING_First-class_HS,BATTING_First-class_Ave,BATTING_First-class_BF,BATTING_First-class_SR,BATTING_First-class_100,BATTING_First-class_50,BATTING_T20s_Mat,BATTING_T20s_Inns,BATTING_T20s_NO,BATTING_T20s_Runs,BATTING_T20s_HS,BATTING_T20s_Ave,BATTING_T20s_BF,BATTING_T20s_SR,BATTING_T20s_100,BATTING_T20s_50,BOWLING_Tests_Mat,BOWLING_Tests_Inns,BOWLING_Tests_Balls,BOWLING_Tests_Runs,BOWLING_Tests_Wkts,BOWLING_Tests_Ave,BOWLING_Tests_Econ,BOWLING_Tests_SR,BOWLING_ODIs_Mat,BOWLING_ODIs_Inns,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_T20Is_Mat,BOWLING_T20Is_Inns,BOWLING_T20Is_Balls,BOWLING_T20Is_Runs,BOWLING_T20Is_Wkts,BOWLING_T20Is_BBI,BOWLING_T20Is_BBM,BOWLING_T20Is_Ave,BOWLING_T20Is_Econ,BOWLING_T20Is_SR,BOWLING_T20Is_4w,BOWLING_T20s_Mat,BOWLING_T20s_Inns,BOWLING_T20s_Balls,BOWLING_T20s_Runs,BOWLING_T20s_Wkts,BOWLING_T20s_BBI,BOWLING_T20s_BBM,BOWLING_T20s_Ave,BOWLING_T20s_Econ,BOWLING_T20s_SR
34028,Navjot Sidhu,51,78,2,3202,201,42,,,9,15,136,127,8,4413,134*,37,6329,70,6,33,,,,,,,,,,,157,228,12,9571,286,44,,,27,50,,,,,,,,,,,51,1,6,9,0,-,9,-,136,2,4,3,0,-,5,-,,,,,,,,,,,,,,,,,,,,,
31038,Kiran More,49,64,14,1285,73,26,,,0,7,94,65,22,563,42*,13,808,70,0,0,,,,,,,,,,,151,204,36,5223,181*,31,,,7,29,,,,,,,,,,,49,1,12,12,0,-,6,-,94,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
32357,Erapalli Prasanna,49,84,20,735,37,11,,,0,0,,,,,,,,,,,,,,,,,,,,,235,275,67,2476,81,12,,,0,2,,,,,,,,,,,49,86,14353,5742,189,30,2,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28624,Farokh Engineer,46,87,3,2611,121,31,,,2,16,5,4,1,114,54*,38,195,58,0,1,,,,,,,,,,,335,510,55,13436,192,30,,,13,69,,,,,,,,,,,46,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
32222,Nawab of Pataudi,46,83,3,2793,203*,35,,,6,16,,,,,,,,,,,,,,,,,,,,,310,499,41,15425,203*,34,,,33,75,,,,,,,,,,,46,10,132,88,1,88,4,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31036,Nayan Mongia,44,68,8,1442,152,24,3742,39,1,6,140,96,33,1272,69,20,1846,69,0,2,,,,,,,,,,,158,241,40,7736,181,38,,,12,45,,,,,,,,,,,44,-,-,-,-,-,-,-,140,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
30939,Vinoo Mankad,44,72,5,2109,231,31,,,5,6,,,,,,,,,,,,,,,,,,,,,233,361,27,11591,231,35,,,26,52,,,,,,,,,,,44,70,14686,5236,162,32,2,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34103,Kris Srikkanth,43,72,3,2062,123,30,,,2,12,146,145,4,4091,123,29,5702,72,4,27,,,,,,,,,,,134,213,3,7349,172,35,,,12,45,,,,,,,,,,,43,16,216,114,0,-,3,-,146,33,712,641,25,26,5,28,,,,,,,,,,,,,,,,,,,,,
33186,Pankaj Roy,43,79,4,2442,173,33,,,5,9,,,,,,,,,,,,,,,,,,,,,185,298,18,11868,202*,42,,,33,50,,,,,,,,,,,43,7,104,66,1,66,4,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234675,Ravindra Jadeja,41,60,14,1485,100*,32,2299,65,1,10,151,101,33,2035,87,30,2416,84,0,10,40,18,6,116,25,10,124,94,0,0,94,138,22,5415,331,47,8868,61,10,25,213,151,52,2153,48,22,1761,122,0,0,41,78,11480,4548,192,24,2,60,151,147,7669,6245,174,36,5,44,40,40,811,983,31,Mar-48,Mar-48,32,7,26,0,213,185,3296,4258,137,44332,44332,31,8,24
